,X52,Common.Name.or.Group,Species.Name,Laurasiatheria,Genome,Tip_Label..Red.is.included.in.CMU.enhancer.dataset..but.missing.alignment.,Assembly_Name,FaName,Secondary_Terrestrial_Vertebrate,Secondary_Frugivore,Secondary_Arthropoda,Secondary_Terrestrial_Invertebrate,Secondary_Vegetation..leaves..browse..bulbs..grass..etc..,Secondary_Granivore..seeds.,Secondary_Veg_Exudants,Secondary_eggs,Secondary_fungi,Secondary_lichen,Secondary_Mollusks,Secondary_fish,Secondary_Marine_Mammals,Meyer.Lab.Classification,True_carn_v_all,Vert_v_herb,CarnFish_Herbs,Ins_v_herbs,MarineAquatic,MarineAquaticBinary,MarineSemiaquaticBinary,PON1Fx,X..Protein..Spring.,X..Protein..Fall.,X..Protein..Winter.,X..Protein..Summer.,X..Lipids..Summer.,X..Lipids..Fall.,X..Lipids..Spring.,X..Lipids..Winter.,X..Carbohydrate..Fall.,X..Carbohydrate..Summer.,X..Carbohydrate..Spring.,X..Carbohydrate..Winter.,Carbohydrate...mean.,Carb..SE.,Lipid.,Lipid..SE.,Protein.,Protein..SE.,Brain.mass..in.kg.,Body.mass..in.kg.,Another.set.of.eyes.,Level.of.Description..Order..Genus..Species.,NowakNotes,NutritionalGeometryNotes,NutritionalGeometryRef,Did.you.find.any.data.articles.for.this.species.,Initials.for.who.inputed.data,GeneralNotes,Domestication,DomesticationNumeric,DomesticationBinary,Echolocation
52,1421,Chinese hamster,Cricetulus griseus,0,criGri1,Cricetulus_griseus,HLcriGri3,vs_HLcriGri3,0,0,1,0,1,1,0,0,0,0,0,0,0,Herbivore,0,0,0,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"Diet consists of young shoots and seeds. Preferred items are soybeans, peas, and millet seeds. Insects are taken. Captives killed and ate frogs and jerboas. Captives excluded from annotations. ",,,,,NA,captive,2,0,0
53,218,White-toothed Shrews,Crocidura indochinensis,1,,Crocidura_indochinensis,,,1,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,1,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet of Crocidura consists of invertebrates and the bodies of freshly killed animals. In captivity many species will consume all but the skin, tail, and parts of the libs of a small mammal; the brain is always eaten first. They also feed on frogs, toads, and lizards. ",,,,,NA,NA,NA,NA,0
54,785,Fossa,Cryptoprocta ferox,1,,Cryptoprocta_ferox,HLcryFer2,vs_HLcryFer2,1,0,1,0,0,0,0,0,0,0,0,0,0,Carnivore,1,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"Its diet consists mainly of small mammals and birds but also includes reptiles, frogs, and insects",,,,,NA,captive,2,0,0
55,1624,Gundi,Ctenodactylus gundi,0,,Ctenodactylus_gundi,HLcteGun1,vs_HLcteGun1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,These rodents seem to feed solely on plant material. ,,,,,NA,wild,0,0,0
56,1678,Tuco tuco,Ctenomys sociabilis,0,,Ctenomys_sociabilis,HLcteSoc1,vs_HLcteSoc1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"Some food, in the form of roots, stems, and grass, is probably pulled into the burrows from below.... The diet is thought to be entirely vegetarian. ",,,,,NA,captive,2,0,0
57,1674,Pacas,Cuniculus paca,0,,Cuniculus_paca,,,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"Also called Agouti paca; Their diet consists of leaves, stems, roots, seeds, and fallen fruit. ",,,,,NA,wild,0,0,0
58,1674,Agouti,Dasyprocta punctata,0,,Dasyprocta_punctata,HLdasPun1,vs_HLdasPun1,0,1,1,0,1,1,0,0,0,0,0,0,0,Omnivore,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet consists of fruits, vegetables and various succulent plants. D. punctata also sometimes browsed and ate crabs. ",,,,,NA,captive,2,0,0
59,165,Armadillo,Dasypus novemcinctus,0,dasNov3,Dasypus_novemcinctus,dasNov3,vs_dasNov3,1,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore/Carnivore,0,1,NA,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,"arthropods, small reptiles, and amphibians, animal matter, insects such as beetles and ants",,,,,NA,NA,NA,NA,0
60,532,Aye-ayes,Daubentonia madagascariensis,0,,Daubentonia_madagascariensis,HLdauMad1,vs_HLdauMad1,0,1,1,0,1,0,1,0,0,0,0,0,0,Insectivore/Herbivore,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The main foods there were seeds from the fruit of Canarium, cankerous growths on Intsia, nectar from Ravenala, and larve from several families of insects. The aye-aye also eats coconuts...Other studies on Nosy Mangabe Island, where the aye-aye was introduced in 1967, indicates that the diet also includes bamboo, tree exudates, large insects, and possibly small invertebrates. Italicized information omitted from analysis because it was a result of reintroduction, like captivity. ",,,,,NA,wild,0,0,0
61,907,Beluga Whale,Delphinapterus leucas,1,delLeu1,Delphinapterus_leucas,HLdelLeu2,vs_HLdelLeu2,0,0,0,0,0,0,0,0,0,0,1,1,0,Piscivore,0,1,1,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The diet includes a great variety of fish, such as cod and herring, as well as octopus, squid, brabs, and snails",,,,,NA,captive,2,0,1
62,NA,Dolphin,Delphinus delphis,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,1
63,353,Common Vampire Bat,Desmodus rotundus,1,desRot1,Desmodus_rotundus,HLdesRot2,vs_HLdesRot2,0,0,0,0,0,0,0,0,0,0,0,0,0,Hematophagy ,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The feeding habits of the vampire have been so exaggerated and confused with Old World legends that the animal is of particular interest. Its usual food is the blood of horses, burros, cattle, and occasionally human beings. Data summarized by Gardner indicate that in some areas Desmodus also preys extensively on domestic turkeys and chickens. ",,,,,NA,captive,2,0,1
64,1030,Sumatran Rhinoceros,Dicerorhinus sumatrensis,1,,Dicerorhinus_sumatrensis,HLdicSum1,vs_HLdicSum1,0,1,0,0,1,1,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The diet includes fruit, leaves, twigs, and bark. Favored foods are wild mangoes, figs, bamboo, and all kinds of plants found in secondary growth. Cultivated crops sometimes are eaten. ",,,,,NA,wild,0,0,0
65,1034,Black Rhinoceros,Diceros bicornis,1,,Diceros_bicornis,HLdicBic1,vs_HLdicBic1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"Diceros is a browser, its main foods being the thin regenerating twigs of woody growth and legumes. A great variety of plant species are utilized, through acacias seem to be a favorite. ",,,,,NA,wild,0,0,0
66,1663,Pacarana,Dinomys branickii,0,,Dinomys_branickii,HLdinBra1,vs_HLdinBra1,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"Diet consists mainly of fruits, leaves, and tender stems",,,,,NA,NA,NA,NA,0
67,1325,Ord Kangaroo Rat,Dipodomys ordii,0,dipOrd2,Dipodomys_ordii,dipOrd2,vs_dipOrd2,0,1,1,0,1,1,0,0,0,0,0,0,0,Insectivore/herbivore,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet of Dipodomys includes seeds, some fruits, leaves, stems, buds, and insects.",,,,,NA,NA,NA,NA,0
68,1325,Stephens Kangaroo Rat,Dipodomys stephensi,0,,Dipodomys_stephensi,HLdipSte1,vs_HLdipSte1,0,1,1,0,1,1,0,0,0,0,0,0,0,Insectivore/herbivore,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet of Dipodomys includes seeds, some fruits, leaves, stems, buds, and insects.",,,,,NA,NA,NA,NA,0
69,1670,Patagonian cavy,Dolichotis patagonum,0,,Dolichotis_patagonum,HLdolPat1,vs_HLdolPat1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,The diet consists of any available vegetation,,,,,NA,captive,2,0,0
70,198,Tenrec,Echinops telfairi,0,echTel2,Echinops_telfairi,echTel2,,1,1,1,0,1,0,0,0,0,0,0,0,0,Ambiguous,0,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,"forages in trees and on the ground; captives-animal food, insects, mice, chopped meat",,,,,NA,captive,2,0,0
71,260,Straw-colored Fruit Bats,Eidolon helvum,1,,Eidolon_helvum,HLeidHel2,vs_HLeidHel2,0,1,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"Juices of various fruits are the preferred food, though this bat also feeds on the blossoms and perhaps young shoots of the silk-cotton tree. Eidolon will eat directly into the fruit of the palm Borasssus and has the unusual habit of chewing into soft wood, apparently to obtain moisture",,,no ,ARG,NA,wild,0,0,0
72,1113,Pere David's Deer,Elaphurus davidianus,1,,Elaphurus_davidianus,HLelaDav1,vs_HLelaDav1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"Although it supplements its grass diet with water plants in the summer, it is essentially a grazing animal. ",,,,,NA,captive,2,0,0
73,1744,Cape elephant shrew,Elephantulus edwardii,0,eleEdw1,Elephantulus_edwardii,eleEdw1,vs_eleEdw1,0,0,1,0,0,0,0,0,NA,0,0,0,0,Insectivore,0,N/A,NA,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"Insects, ants, and termites, in captivity- fruits and veggies",,,,,NA,wild,0,0,0
74,1485,Transcaucasian mole vole,Ellobius lutescens,0,,Ellobius_lutescens,HLellLut1,vs_HLellLut1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,They feed on underground parts of plants; tulip bulbs and pulpy tubers are especially favored. ,,,,,NA,captive,2,0,0
75,1485,Northern Mole Vole,Ellobius talpinus,0,,Ellobius_talpinus,HLellTal1,vs_HLellTal1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,They feed on underground parts of plants; tulip bulbs and pulpy tubers are especially favored. ,,,,,NA,captive,2,0,0
76,745,Sea Otter,Enhydra lutris,1,enhLut1,Enhydra_lutris,enhLutNer1,vs_enhLutNer1,0,0,1,0,0,0,0,0,0,0,1,1,0,Piscivore,0,1,1,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The diet consists mainly of slow-moving fish and marine invertebrates, such as sea urchins, abaone, crabs, and mollusks",,,,,NA,wild,0,0,0
77,440,Big brown bat,Eptesicus fuscus,1,eptFus1,Eptesicus_fuscus,eptFus1,vs_eptFus1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,0,N/A,NA,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,The diet of Eptesicus consists of insects,,,,,NA,wild,0,0,1
78,1008,Wild Donkey,Equus asinus,1,equAsi1,Equus_asinus,HLequAsiAsi2,vs_HLequAsiAsi2,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"diet to include 22 percent grasses and sedges, 33 percent forbs, and 40 percent browse",,,,,NA,domestic,1,1,0
79,1008,Horse,Equus caballus,1,equCab2,Equus_caballus,equCab3,vs_equCab3,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,532,0,Species,"Horses are primarily grazers, taking mainly grasses and low forage plants.",,,,,NA,domestic,1,1,0
80,1008,Przewalskii Horse,Equus przewalskii,1,equPrz1,Equus_przewalskii,equPrz1,vs_equPrz1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,No specific information on Prewalskii. Wilson and Reeder 1993 regarded caballus and przewalskii as conspecific. Information here is from caballus,,,,,NA,captive,2,0,0
81,174,Hedgehog,Erinaceus europaeus,1,eriEur2,Erinaceus_europaeus,eriEur2,vs_eriEur2,1,1,0,1,0,0,0,1,0,0,0,0,0,Generalist,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00335,2.5,0,,"Invertebrates, frogs, snakes, lizards, and young birds and mice… nearly anything, including carrion",,,,,NA,NA,NA,NA,0
82,570,Red Guenon,Erythrocebus patas,0,,Erythrocebus_patas,HLeryPat1,vs_HLeryPat1,1,1,1,0,1,1,0,1,1,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The bulk of the diet consists of grasses, berries, fruits, beans, and seeds, occasionally supplemented by mushrooms, ants, grasshoppers, lizards, and birds' eggs",,,,,NA,captive,2,0,0
83,959,Gray Whale,Eschrichtius robustus,1,,Eschrichtius_robustus,HLescRob1,vs_HLescRob1,0,0,1,1,0,0,0,0,0,0,1,1,0,Carnivore,0,1,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet consists mainly of gammaridean amphipods (small crustacean). Other crustaceans, certain mollusks, and worms and small fish are also eaten. ",,,,,NA,wild,0,0,0
84,964,North Atlantic Right Whale,Eubalaena japonica,1,,Eubalaena_japonica,HLeubJap1,vs_HLeubJap1,0,0,1,0,0,0,0,0,0,0,1,1,0,Carnivore,0,1,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"It's diet consists mainly of copepods and also includes euphausiids, pteropods, and small fish",,,,,NA,wild,0,0,0
85,517,Lemur,Eulemur flavifrons,0,,Eulemur_flavifrons,HLeulFla1,vs_HLeulFla1,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0267,2.25,0,Genus,"The diet of Eulemur consists largely of flowers, fruits, and leaves. E. macaco also is known to eat bark, and E. mongoz feeds extensively on nectar. Captive E. macaco will accept meat. Captives excluded from analysis",,,no,ARG,NA,captive,2,0,0
86,517,Lemur,Eulemur fulvus,0,,Eulemur_fulvus,HLeulFul1,vs_HLeulFul1,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet of Eulemur consists largely of flowers, fruits, and leaves. E. macaco also is known to eat bark, and E. mongoz feeds extensively on nectar. Captive E. macaco will accept meat. Captives excluded from analysis",,,no,ARG,NA,captive,2,0,0
87,796,Cat,Felis catus,1,felCat5,Felis_catus,felCat9,vs_felCat9,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,1,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,4.08,0,Species,"rabbits, rats, mice, birds, and carrion",,,,,NA,domestic,1,1,0
88,796,Black-footed cat,Felis nigripes,1,,Felis_nigripes,HLfelNig1,vs_HLfelNig1,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,1,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The diet probably includes rodents, birds, and reptiles. Individuals have been observed to catch birds and hares and to cache them for later use",,,,,NA,captive,2,0,0
89,1637,Damara mole rat,Fukomys damarensis,0,fukDam1,Fukomys_damarensis,HLfukDam2,vs_HLfukDam2,0,0,1,0,1,0,0,0,0,0,0,0,0,Insectivore/Herbivore,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"Listed in Nowak as Cryptomys damarensis, The diet consists mainly of roots, bulbs, tubers, and aloe leaves. Invertebrates such as earthworms, cockchafer larvae, and white ants, are occasionally eaten.",,,,,NA,captive,2,0,0
90,1086,Giraffe,Giraffa tippelskirchi,1,,Giraffa_tippelskirchi,HLgirTip1,vs_HLgirTip1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,1900,0,Species,"Subspecies of G. camelopardalis. Info from G. camelopardalis. Giraffe is a browser, feeding largely on the leaves from acacia, mimosa, and wild apricot trees. ",,,,,NA,wild,0,0,0
91,1629,Fat dormouse,Glis glis,0,,Glis_glis,HLgliGli1,vs_HLgliGli1,1,1,1,0,0,1,0,0,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"Also called Myoxus glis; diet consists mainly of seeds, nuts, acorns, berries, and soft fruits. Insects may be important at certain times and small birds are taken on rare occasions.",,,,,NA,wild,0,0,0
92,618,Gorilla,Gorilla gorilla,0,gorGor3,Gorilla_gorilla,gorGor6,vs_gorGor6,0,1,1,0,1,1,0,0,0,0,0,0,0,Herbivore,0,0,0,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,NA,NA,NA,11.9,NA,0.207,406,0,,"Diet consists of leaves, shoots and stems, wood, roots, flowers, fruits, and grubs. Insects are often eaten inadvertently while feeding on plants. Gorillas known to break open termite nests to feed. Gorillas are known to eat meat exclusively in captivity. Not incuded as carnivore as not observed in wild. ","The nutritional composition of the diet included CP (mean =
11.9% + 2.9, n = 11 months), TNC (33.5% + 8.8, n = 11 months), Based on average monthly feeding time (for n = 106 food items),
the WG diet was composed of 35% fruit (±26 SD, 11 months), 30%
herb (±18 SD, 11 months), 24% leaf (±22 SD, 11 months), 6% termite
(±9 SD, 11 months), and 5% other food items (±11 SD, 11 months).",Jessica L. Lodwick et al. Research Article Wiley 2019 ,yes - FD ONLY,ARG,NA,captive,2,0,0
93,1626,African dormouse,Graphiurus murinus,0,,Graphiurus_murinus,HLgraMur1,vs_HLgraMur1,1,1,1,0,0,1,0,1,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet includes grains, seeds, nuts, fruits, insects, eggs, and small vertebrates",,,,,NA,captive,2,0,0
94,777,Dwarf Mongoose,Helogale parvula,1,,Helogale_parvula,HLhelPar1,vs_HLhelPar1,1,1,1,0,0,0,0,1,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The diet consists mainly of insects and also includes small vertebrates, eggs, and fruits",,,,,NA,captive,2,0,0
95,1219,Tahr,Hemitragus hylocrius,1,,Hemitragus_hylocrius,HLhemHyl1,vs_HLhemHyl1,0,1,0,0,1,1,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"Eats a variety of vegetation but seems to prefer such parts as seeds, fruits, and new growth",,,no,ARG,NA,NA,NA,NA,0
96,1642,Naked mole-rat,Heterocephalus glaber,0,hetGla2,Heterocephalus_glaber,hetGla2,vs_hetGla2,0,0,0,0,0,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,23.3,0,Species,"tubers, roots, and corms",,,,,NA,captive,2,0,0
97,333,Old World Leaf-nosed Bats,Hipposideros armiger,1,hipArm1,Hipposideros_armiger,HLhipArm1,vs_HLhipArm1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,0,N/A,NA,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"These bats fly lower than most bats and catch insects such as beetles, termites, and cockroaches, cicadas apparently are an important food source for some species",,,,,NA,wild,0,0,1
98,NA,Old World Leaf-nosed Bats,Hipposideros galeritus,1,,Hipposideros_galeritus,HLhipGal1,vs_HLhipGal1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,0,N/A,NA,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"These bats fly lower than most bats and catch insects such as beetles, termites, and cockroaches, cicadas apparently are an important food source for some species",,,,,NA,wild,0,0,1
99,626,Human,Homo sapiens,0,hg38,Homo_sapiens,REFERENCE,REFERENCE,1,1,1,1,1,1,0,0,0,0,0,0,0,Generalist,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,62,1,Species,"Humans are generalist feeders. The diet is ill-described in NOWAK, but humans around the world eat just about everything ",,,,,NA,domestic,1,1,0
100,790,Striped hyaena,Hyaena hyaena,1,,Hyaena_hyaena,HLhyaHya1,vs_HLhyaHya1,1,1,1,0,0,0,0,0,0,0,0,0,0,Carnivore,1,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The diet varies by season and area but seems to consist mainly of mammalian carrion. The larger, more northerly subspecies prey on sheep, goats, donkeys, and horses. Other important foods are small vertebrates, insects, and fruits. ",,,,,NA,captive,2,0,0
101,1672,Capybara,Hydrochoerus hydrochaeris,0,,Hydrochoerus_hydrochaeris,HLhydHyd1,vs_HLhydHyd1,0,1,0,0,1,1,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The diet consists mainly of grasses, and the capybara is sometimes seen grazing with cattle. It also eats aquatic plants, grains, melons, and squashes. ",,,,,NA,wild,0,0,0
102,1645,Porcupine,Hystrix cristata,0,,Hystrix_cristata,HLhysCri1,vs_HLhysCri1,1,1,1,0,1,1,0,0,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet of Hystrix includes bark, roots, tubers, rhizomes, bulbs, fallen fruits, and cultivated crops. Insects and small vertebrates are occasionally taken. Carrion feeding has been reported but is not common. ",,,,,NA,captive,2,0,0
103,1254,Ground Squirrel ,Ictidomys tridecemlineatus,0,,Ictidomys_tridecemlineatus,speTri2,vs_speTri2,1,0,1,1,1,1,0,1,1,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"Diet consists of seeds, nuts, grains, roots, bulbs, mushrooms, green vegetation, insects, and small invertebrates; occasionally small vertebrates and birds' eggs",,,,,NA,captive,2,0,0
104,524,Indri,Indri indri,0,,Indri_indri,HLindInd1,vs_HLindInd1,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03606,6.5,0,Species,"The diet consists of leaves, flowers, and fruits",,,no,ARG,NA,wild,0,0,0
105,904,Amazon Dolphin,Inia geoffrensis,1,,Inia_geoffrensis,HLlniGeo1,vs_HLlniGeo1,0,0,0,0,0,0,0,0,0,0,0,1,0,Piscivore,0,1,1,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The diet consists of fish, usually less than 30 cm long",,,,,NA,wild,0,0,1
