"","HI-Rho","HI-P","HI-p.adj","HI-significant","HO-Rho","HO-P","HO-p.adj","HO-significant","HV-Rho","HV-P","HV-p.adj","HV-significant","IO-Rho","IO-P","IO-p.adj","IO-significant","IV-Rho","IV-P","IV-p.adj","IV-significant","OV-Rho","OV-P","OV-p.adj","OV-significant","HI-HO-Overlap","HI-HV-Overlap","HI-IO-Overlap","HI-IV-Overlap","HI-OV-Overlap","HO-HV-Overlap","HO-IO-Overlap","HO-IV-Overlap","HO-OV-Overlap","HV-IO-Overlap","HV-IV-Overlap","HV-OV-Overlap","IO-IV-Overlap","IO-OV-Overlap","IV-OV-Overlap","HI-HO-HV-Overlap","HI-HO-IO-Overlap","HI-HO-IV-Overlap","HI-HO-OV-Overlap","HI-HV-IO-Overlap","HI-HV-IV-Overlap","HI-HV-OV-Overlap","HI-IO-IV-Overlap","HI-IO-OV-Overlap","HI-IV-OV-Overlap","HO-HV-IO-Overlap","HO-HV-IV-Overlap","HO-HV-OV-Overlap","HO-IO-IV-Overlap","HO-IO-OV-Overlap","HO-IV-OV-Overlap","HV-IO-IV-Overlap","HV-IO-OV-Overlap","HV-IV-OV-Overlap","IO-IV-OV-Overlap","HI-HO-HV-IO-Overlap","HI-HO-HV-IV-Overlap","HI-HO-HV-OV-Overlap","HI-HO-IO-IV-Overlap","HI-HO-IO-OV-Overlap","HI-HO-IV-OV-Overlap","HI-HV-IO-IV-Overlap","HI-HV-IO-OV-Overlap","HI-HV-IV-OV-Overlap","HI-IO-IV-OV-Overlap","HO-HV-IO-IV-Overlap","HO-HV-IO-OV-Overlap","HO-HV-IV-OV-Overlap","HO-IO-IV-OV-Overlap","HV-IO-IV-OV-Overlap","HI-HO-HV-IO-IV-Overlap","HI-HO-HV-IO-OV-Overlap","HI-HO-HV-IV-OV-Overlap","HI-HO-IO-IV-OV-Overlap","HI-HV-IO-IV-OV-Overlap","HO-HV-IO-IV-OV-Overlap","HI-HO-HV-IO-IV-OV-Overlap","HI-HO-Delta","HI-HV-Delta","HI-IO-Delta","HI-IV-Delta","HI-OV-Delta","HO-HV-Delta","HO-IO-Delta","HO-IV-Delta","HO-OV-Delta","HV-IO-Delta","HV-IV-Delta","HV-OV-Delta","IO-IV-Delta","IO-OV-Delta","IV-OV-Delta"
"CCKAR",0.5119857,1,1,FALSE,0.100856,1,1,FALSE,-1.19512,1,1,FALSE,-0.392493,1,1,FALSE,-1.498457,0.804088,1,FALSE,-1.222817,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.2907126,1.207106,0.639563,1.421597,1.226691,0.9163936,0.3488505,1.130885,0.9359781,0.5675431,0.2144912,0.01958445,0.7820343,0.5871276,0.1949067
"IGFN1",-3.168629,0.009189587,0.1460745,FALSE,0.573218,1,1,FALSE,-0.901523,1,1,FALSE,3.591748,0.001970803,0.07980933,FALSE,1.710169,0.5234076,1,FALSE,-1.327208,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.645885,1.603086,4.780309,3.449831,1.302081,1.042799,2.134423,0.8039458,1.343804,3.177223,1.846745,0.301005,1.330477,3.478228,2.14775
"ATP1A1",-1.002833,1,1,FALSE,1.455444,0.8732784,1,FALSE,0.01546606,1,1,FALSE,2.225851,0.156145,0.9687924,FALSE,0.7277704,1,1,FALSE,-0.9855493,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.738265,0.7200464,2.283025,1.223722,0.01222166,1.018218,0.54476,0.5145429,1.726043,1.562978,0.5036753,0.7078248,1.059303,2.270803,1.2115
"PROK2",0.2330555,1,1,FALSE,0.8218116,1,1,FALSE,-1.938985,0.3150192,1,FALSE,0.5031928,1,1,FALSE,-2.00002,0.2729885,1,FALSE,-2.443281,0.08732629,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4163135,1.535864,0.191016,1.579023,1.892456,1.952178,0.2252975,1.995336,2.308769,1.72688,0.04315869,0.3565917,1.770039,2.083472,0.313433
"LRRC58",-1.276562,1,1,FALSE,-2.106444,0.210995,1,FALSE,-2.052825,0.2405373,1,FALSE,-0.6788248,1,1,FALSE,-1.035821,1,1,FALSE,-0.5431434,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5868148,0.5489007,0.4226642,0.1702301,0.5186054,0.03791411,1.009479,0.7570449,1.10542,0.9715649,0.7191308,1.067506,0.2524341,0.09594126,0.3483753
"FSTL1",0.1748099,1,1,FALSE,-1.78655,0.4440613,1,FALSE,-1.198846,1,1,FALSE,-1.768074,0.4622913,1,FALSE,-1.256583,1,1,FALSE,0.004052412,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.386891,0.9713214,1.373826,1.012147,0.1207437,0.4155696,0.01306471,0.3747435,1.266147,0.4025049,0.04082608,0.8505777,0.3616788,1.253083,0.8914037
"RNPEP",-0.9704128,1,1,FALSE,1.370744,1,1,FALSE,-1.186608,1,1,FALSE,2.188048,0.1719965,1,FALSE,-0.3455411,1,1,FALSE,-2.221115,0.1580592,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.655448,0.1528734,2.233369,0.4418511,0.8843797,1.808321,0.5779213,1.213597,2.539828,2.386243,0.5947245,0.7315063,1.791518,3.117749,1.326231
"PDCL2",2.21917,0.158851,0.8278818,FALSE,1.072516,1,1,FALSE,1.265869,1,1,FALSE,-1.137653,1,1,FALSE,-0.2712933,1,1,FALSE,0.5467895,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8108065,0.6740859,2.373633,1.761024,1.182552,0.1367206,1.562826,0.950217,0.3717451,1.699547,1.086938,0.5084656,0.612609,1.191081,0.5784719
"IGFBP7",0.1061283,1,1,FALSE,0.003293364,1,1,FALSE,-1.128489,1,1,FALSE,-0.09974324,1,1,FALSE,-1.139002,1,1,FALSE,-1.110535,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.07271527,0.8730064,0.1455732,0.8804397,0.860311,0.8002911,0.07285788,0.8077245,0.7875957,0.7274333,0.007433325,0.01269541,0.7348666,0.7147379,0.02012874
"CXCR1",0.8616187,1,1,FALSE,1.438522,0.9017161,1,FALSE,2.773487,0.03327541,0.4514407,FALSE,0.2917449,1,1,FALSE,1.614793,0.6381331,1,FALSE,1.552232,0.7236409,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4079322,1.351895,0.4029617,0.5325747,0.488337,0.943963,0.8108939,0.1246425,0.08040485,1.754857,0.8193205,0.8635582,0.9355364,0.8912987,0.04423766
"CCT3",0.4325415,1,1,FALSE,-0.3942932,1,1,FALSE,-0.9771392,1,1,FALSE,-0.76264,1,1,FALSE,-1.249278,1,1,FALSE,-0.6373838,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5846605,0.9967948,0.845121,1.189226,0.7565515,0.4121344,0.2604605,0.6045658,0.171891,0.1516738,0.1924315,0.2402433,0.3441053,0.08856948,0.4326748
"TMEM79",0.1882062,1,1,FALSE,2.148536,0.190027,1,FALSE,-0.8072131,1,1,FALSE,1.689594,0.546634,1,FALSE,-0.8873746,1,1,FALSE,-2.322416,0.1212634,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.386163,0.7038678,1.061641,0.7605505,1.775278,2.090031,0.3245214,2.146713,3.161441,1.765509,0.05668269,1.07141,1.822192,2.836919,1.014727
"SSR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNF25",0.0900514,1,1,FALSE,1.571548,0.6963325,1,FALSE,-0.6618732,1,1,FALSE,1.341291,1,1,FALSE,-0.6935421,1,1,FALSE,-1.793039,0.4378002,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.047576,0.531691,0.8847597,0.5540843,1.331546,1.579267,0.1628166,1.601661,2.379122,1.416451,0.02239326,0.799855,1.438844,2.216306,0.7774617
"STK36",-1.095028,1,1,FALSE,-0.02697691,1,1,FALSE,-2.114068,0.2070567,1,FALSE,1.016638,1,1,FALSE,-1.098518,1,1,FALSE,-2.015958,0.2628259,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.755226,0.7205704,1.493173,0.002468333,0.6511964,1.475796,0.7379469,0.7576943,1.406422,2.213743,0.7181021,0.06937402,1.495641,2.144369,0.648728
"FEV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IHH",-1.905481,0.3403054,1,FALSE,-2.829617,0.02796223,1,FALSE,-1.853063,0.3832397,1,FALSE,-0.7195922,1,1,FALSE,-0.3673508,1,1,FALSE,0.1833616,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.653463,0.03706492,0.83855,1.087622,1.477035,0.6905279,1.492013,1.741085,2.130498,0.8014851,1.050557,1.43997,0.2490723,0.6384848,0.3894125
"CIP2A",1.597903,0.660387,1,FALSE,1.119272,1,1,FALSE,1.436757,0.9047223,1,FALSE,-0.5345559,1,1,FALSE,0.1372445,1,1,FALSE,0.5807368,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3384437,0.1139476,1.507876,1.032842,0.7192453,0.2244961,1.169433,0.694398,0.3808016,1.393929,0.9188941,0.6052977,0.4750346,0.788631,0.3135964
"RETNLB",-0.1359692,1,1,FALSE,-0.09135865,1,1,FALSE,0.5539241,1,1,FALSE,0.05460652,1,1,FALSE,0.6274559,1,1,FALSE,0.6219193,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.03154441,0.4878282,0.1347574,0.5398231,0.5359081,0.4562838,0.103213,0.5082787,0.5043637,0.3530709,0.05199483,0.04807986,0.4050657,0.4011507,0.003914971
"TRAT1",-0.06501172,1,1,FALSE,1.171071,1,1,FALSE,0.02556492,1,1,FALSE,1.100354,1,1,FALSE,0.07258332,1,1,FALSE,-0.8190815,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8740424,0.06404736,0.8240381,0.09729439,0.5332078,0.8099951,0.05000437,0.7767481,1.40725,0.7599907,0.03324703,0.5972552,0.7267437,1.357246,0.6305022
"HDAC11",0.4551082,1,1,FALSE,1.971219,0.2921931,1,FALSE,1.871983,0.3672534,1,FALSE,1.369394,1,1,FALSE,1.551665,0.7244538,1,FALSE,0.7222082,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.072052,1.001882,0.6464974,0.7753831,0.1888682,0.07017006,0.4255547,0.2966691,0.8831839,0.3553847,0.226499,0.8130139,0.1288857,0.4576292,0.5865149
"GLB1L",1.053509,1,1,FALSE,-0.2469287,1,1,FALSE,-0.1933966,1,1,FALSE,-1.236681,1,1,FALSE,-0.9872159,1,1,FALSE,-0.005509483,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9195481,0.8816952,1.619409,1.44301,0.748839,0.03785288,0.6998607,0.5234621,0.1707092,0.7377136,0.561315,0.1328563,0.1763986,0.8705699,0.6941713
"TUBA1A",0.0752071,1,1,FALSE,-0.8023646,1,1,FALSE,-1.462321,0.8619192,1,FALSE,-0.7470572,1,1,FALSE,-1.361538,1,1,FALSE,-0.740788,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6205369,1.087197,0.5814287,1.015933,0.5769956,0.4666598,0.03910819,0.3953956,0.04354125,0.505768,0.07126418,0.5102011,0.4345038,0.004433057,0.4389369
"STT3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRKCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RETSAT",2.405868,0.09680459,0.6139073,FALSE,0.9753713,1,1,FALSE,0.325803,1,1,FALSE,-1.439117,0.9007037,1,FALSE,-1.591986,0.6683276,1,FALSE,-0.4293387,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.011514,1.470828,2.718815,2.826909,2.004794,0.4593142,1.707301,1.815396,0.99328,1.247987,1.356081,0.5339658,0.1080942,0.7140213,0.8221156
"EIF5A2",1.253755,0.629793,1,FALSE,1.543642,0.3680252,1,FALSE,NA,NA,NA,NA,0.406625,1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.204981,NA,0.5990115,NA,NA,NA,0.8039925,NA,NA,NA,NA,NA,NA,NA,NA
"EFHB",4.435662,5.507383e-05,0.00488121,TRUE,2.224118,0.1568431,1,FALSE,3.474658,0.003069035,0.1061624,FALSE,-2.271916,0.1385495,0.904221,FALSE,-0.298385,1,1,FALSE,1.654663,0.5879574,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.563798,0.6795329,4.742974,3.347477,1.966463,0.8842651,3.179176,1.783679,0.4026654,4.063441,2.667944,1.286931,1.395497,2.776511,1.381013
"RPL22L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
